gen,q_value,Log2FC,sign
MZB1,0.005893294030705394,3.446099400202801,UP
LRRC32,0.005885087620359614,1.2018836781140676,UP
ARHGAP23,0.00568235229188147,1.384042843934827,UP
GPSM3,0.005677532703300545,1.5002977406332494,UP
CD48,0.005581707763643381,1.5616246273609777,UP
TRAC,0.00553078564549866,2.0394464994289194,UP
ELN,0.00553078564549866,1.0524787953425823,UP
TIE1,0.005514529305286281,1.4321956095191521,UP
P2RY6,0.005399625021242495,2.279967292368564,UP
FGG,0.005399625021242495,2.952565973693076,UP
ARHGDIB,0.005399625021242495,1.1084745193297745,UP
AOC1,0.005395069015154018,1.6234360387794529,UP
FOLR2,0.005386375588411103,1.5005111725394484,UP
PADI2,0.00538465744620777,2.226876894511618,UP
NNMT,0.005215462869930086,1.3972719418731259,UP
OSBPL3,0.005203916504024429,1.6445868473325278,UP
ARHGAP9,0.005110414872221376,1.7362543062429148,UP
ADAMDEC1,0.005102907643982453,3.391539511413586,UP
HAND2,0.00509150036287519,1.05769476003416,UP
SUCNR1,0.005054798250334578,2.863434250259463,UP
RASGRP3,0.005036543673112844,1.132774382683767,UP
TCN1,0.004986887604655625,2.926829875788396,UP
IL18BP,0.004986887604655625,1.130014820567195,UP
PDE1C,0.004629308886200168,1.0526757925087902,UP
HLA-DRB5,0.004605415440299089,1.8142911060804803,UP
CMKLR1,0.004572625102586013,1.410035151040259,UP
RASSF2,0.004572625102586013,1.0865373866551016,UP
MN1,0.004568396808686551,1.3043199164160972,UP
NRP2,0.004568396808686551,1.0614259400570314,UP
FNDC1,0.004461545448669159,1.978247569061321,UP
CCDC162P,0.004321960149762849,1.3928047683952824,UP
PLEKHA4,0.0042549309760167,1.005704435574214,UP
SHISA2,0.004212294600584809,1.7380306406342512,UP
RHOJ,0.00407390709088139,1.3855950314277343,UP
GMFG,0.00407390709088139,1.0888841688699755,UP
FGL2,0.0038869475068092343,1.1633567563549199,UP
CD1D,0.0037370920842698355,1.7228256247933338,UP
KCNK5,0.0037303620612028554,1.7548013985858641,UP
DPYSL3,0.003729037371444854,1.0660856978292603,UP
TTYH3,0.0036400982785780925,1.026712158101331,UP
DOCK8,0.0036393803928504247,1.3020338849468513,UP
PLEKHO2,0.0036393803928504247,1.0752960766137236,UP
CRISPLD2,0.0036393803928504247,1.1814590070364837,UP
AC243960.1,0.003611088169245879,1.3785836584157602,UP
HSD11B1,0.0035386577659509396,1.53130956960233,UP
TYMP,0.0035194550005300225,1.374346571142732,UP
BIN2,0.0035168382494549727,1.872198430065417,UP
CYGB,0.0034914388224326926,1.3219336668991852,UP
GABRA2,0.0034533173244047127,-1.8141292894462513,DOWN
SPARC,0.0034012208032660174,1.2174131897094485,UP
SAMSN1,0.0033339559955191064,1.4503374735422272,UP
IL16,0.0033293961101106117,1.2980560981628682,UP
LINC00958,0.0033228165805491527,-1.5438634604029424,DOWN
FILIP1L,0.003288922696210298,1.086841738568939,UP
PYCARD,0.0032723993177109136,1.2389053530151735,UP
CLEC14A,0.0032723993177109136,1.304307574064138,UP
MCAM,0.0032723993177109136,1.1870011079553862,UP
SASH3,0.0032441075163851113,1.969073141174854,UP
CTSS,0.003220356489129784,1.53409456532714,UP
CCL5,0.0031654381854956198,1.3717310121955668,UP
TSKU,0.0030410081005141,1.0806783228301244,UP
EVI2B,0.003024979030165762,1.4479233843246246,UP
COL11A1,0.003023351663044503,2.161330697552554,UP
TNFRSF11B,0.0029906281632063854,1.6296423036581558,UP
HLA-DQA1,0.0029525399096830447,1.562597013470913,UP
GABRP,0.0029525399096830447,2.979047077761524,UP
PCOLCE2,0.0029268050650109317,2.363284023516419,UP
SRPX2,0.0029098309139911293,1.1755032070316542,UP
MMP14,0.0028476488199145173,1.586509057533247,UP
DYSF,0.0028258709841699967,1.5180290522271864,UP
IFI16,0.002758486897485725,1.273521249209734,UP
CASP10,0.0027547468895820285,1.1617350184555468,UP
